forward_joules,forward_energy_mean,forward_time,forward_nvidia_time_mean,forward_memory,forward_nvidia_memory_mean,forward_flops,forward_backward_joules,forward_backward_energy_mean,forward_backward_time,forward_backward_nvidia_time_mean,forward_backward_memory,forward_backward_nvidia_memory_mean,forward_backward_flops,forward_backward_optimizer_joules,forward_backward_optimizer_energy_mean,forward_backward_optimizer_time,forward_backward_optimizer_nvidia_time_mean,forward_backward_optimizer_memory,forward_backward_optimizer_nvidia_memory_mean,forward_backward_optimizer_flops,num_trainable_parameters,model_name,input_length,batch_size,repetition,rank
3336.5484300000003,3336.5484300000003,9.365,9.365,8813.0,8813.0,11605379373056.0,7977.93675,7977.93675,22.777,22.777,21861.0,21861.0,24623425509376.0,8405.44536,8405.44536,23.329,23.329,22309.0,22309.0,24623425509376.0,180355072,meta-llama/Llama-3.2-1B,256,16,0,256
3404.58086,3404.58086,9.488,9.488,8915.0,8915.0,11974746560512.0,8183.487,8183.487,23.089,23.089,21989.0,21989.0,25728305846272.0,8674.71445,8674.71445,23.765,23.765,22013.0,22013.0,25728305846272.0,225443840,meta-llama/Llama-3.2-1B,256,16,0,320
3460.19771,3460.19771,9.548,9.548,8993.0,8993.0,12344113747968.0,8259.4979,8259.4979,23.329,23.329,22111.0,22111.0,26833186183168.0,8844.79711,8844.79711,24.067,24.067,22141.0,22141.0,26833186183168.0,270532608,meta-llama/Llama-3.2-1B,256,16,0,384
3532.98692,3532.98692,9.88,9.88,9121.0,9121.0,12713480935424.0,8623.4367,8623.4367,24.619,24.619,22261.0,22261.0,27938066520064.0,9295.62624,9295.62624,25.508,25.508,22299.0,22299.0,27938066520064.0,315621376,meta-llama/Llama-3.2-1B,256,16,0,448
3553.04483,3553.04483,9.945,9.945,9113.0,9113.0,13082848122880.0,8681.0845,8681.0845,24.765,24.765,22305.0,22305.0,29042946856960.0,9428.02544,9428.02544,25.744,25.744,22345.0,22345.0,29042946856960.0,360710144,meta-llama/Llama-3.2-1B,256,16,0,512
913.26127,913.26127,2.939,2.939,3319.0,3319.0,2904350011392.0,2963.72861,2963.72861,10.436,10.436,8165.0,8165.0,8712690439168.0,3100.75536,3100.75536,10.511,10.511,8951.0,8951.0,8712690439168.0,355412057,FacebookAI/roberta-large,256,16,0,-1
1003.61844,1003.61844,3.321,3.321,3309.0,3309.0,2906765930496.0,2561.82074,2561.82074,10.503,10.503,8113.0,8113.0,5788739317760.0,2401.12955,2401.12955,9.549,9.549,8113.0,8113.0,5788739317760.0,196608,FacebookAI/roberta-large,256,16,0,1
1009.06696,1009.06696,3.425,3.425,3309.0,3309.0,2908376543232.0,2572.26884,2572.26884,11.197,11.197,8115.0,8115.0,5793545990144.0,2656.6174,2656.6174,11.423,11.423,8115.0,8115.0,5793545990144.0,393216,FacebookAI/roberta-large,256,16,0,2
989.20183,989.20183,3.429,3.429,3309.0,3309.0,2911597768704.0,2541.72303,2541.72303,11.112,11.112,8117.0,8117.0,5803159334912.0,2543.05791,2543.05791,11.625,11.625,8119.0,8119.0,5803159334912.0,786432,FacebookAI/roberta-large,256,16,0,4
1007.05803,1007.05803,3.358,3.358,3311.0,3311.0,2918040219648.0,2558.24681,2558.24681,10.979,10.979,8123.0,8123.0,5822386024448.0,2635.64941,2635.64941,11.578,11.578,8127.0,8127.0,5822386024448.0,1572864,FacebookAI/roberta-large,256,16,0,8
988.05031,988.05031,3.393,3.393,3313.0,3313.0,2930925121536.0,2269.19116,2269.19116,10.343,10.343,8135.0,8135.0,5860839403520.0,2642.93077,2642.93077,11.462,11.462,8141.0,8141.0,5860839403520.0,3145728,FacebookAI/roberta-large,256,16,0,16
1003.12933,1003.12933,3.381,3.381,3319.0,3319.0,2956694925312.0,2570.41433,2570.41433,10.992,10.992,8159.0,8159.0,5937746161664.0,2605.40661,2605.40661,11.165,11.165,8171.0,8171.0,5937746161664.0,6291456,FacebookAI/roberta-large,256,16,0,32
1011.93498,1011.93498,3.427,3.427,3331.0,3331.0,3008234532864.0,2589.89788,2589.89788,10.926,10.926,8207.0,8207.0,6091559677952.0,2596.82026,2596.82026,11.164,11.164,8231.0,8231.0,6091559677952.0,12582912,FacebookAI/roberta-large,256,16,0,64
1024.65096,1024.65096,3.488,3.488,3355.0,3355.0,3111313747968.0,2644.72808,2644.72808,11.155,11.155,8303.0,8303.0,6399186710528.0,2731.64276,2731.64276,11.268,11.268,8351.0,8351.0,6399186710528.0,25165824,FacebookAI/roberta-large,256,16,0,128
1050.89068,1050.89068,3.494,3.494,3385.0,3385.0,3214392963072.0,2634.75599,2634.75599,10.484,10.484,7663.0,7663.0,6706813743104.0,2740.17758,2740.17758,11.203,11.203,7885.0,7885.0,6706813743104.0,37748736,FacebookAI/roberta-large,256,16,0,192
1067.87021,1067.87021,3.577,3.577,3403.0,3403.0,3317472178176.0,2622.31149,2622.31149,10.055,10.055,8487.0,8487.0,7014440775680.0,2823.44964,2823.44964,11.235,11.235,8769.0,8769.0,7014440775680.0,50331648,FacebookAI/roberta-large,256,16,0,256
1080.44742,1080.44742,3.602,3.602,3435.0,3435.0,3420551393280.0,2737.23699,2737.23699,11.275,11.275,7875.0,7875.0,7322067808256.0,2958.8537,2958.8537,12.141,12.141,8255.0,8255.0,7322067808256.0,62914560,FacebookAI/roberta-large,256,16,0,320
