forward_joules,forward_time,forward_flops,forward_backward_optimizer_joules,forward_backward_optimizer_time,forward_backward_optimizer_flops,forward_backward_joules,forward_backward_time,forward_backward_flops,num_trainable_parameters,model_name,input_length,batch_size,rank,rep
1756.94904,4.881,,6236.25482,17.925,,5454.73061,14.75,,1235814400,meta-llama/Llama-3.2-1B,256,12,-1,1
2619.83632,7.341,,7496.51806,20.873,,6363.87278,18.937,,721420288,meta-llama/Llama-3.2-1B,256,12,1024,1
2327.11801,6.638,,6119.41038,17.486,,5497.46618,16.536,,360710144,meta-llama/Llama-3.2-1B,256,12,512,1
2179.31754,6.337,,5391.21323,15.761,,5110.6909,15.329,,180355072,meta-llama/Llama-3.2-1B,256,12,256,1
2109.79508,6.257,,5034.93139,15.152,,4852.20501,14.922,,90177536,meta-llama/Llama-3.2-1B,256,12,128,1
2075.2551,6.126,,4924.84171,14.768,,4767.57128,14.644,,45088768,meta-llama/Llama-3.2-1B,256,12,64,1
2029.44029,6.063,,4829.68314,14.574,,4725.12264,14.524,,22544384,meta-llama/Llama-3.2-1B,256,12,32,1
2042.84768,6.072,,4879.06458,14.798,,4766.24387,14.741,,11272192,meta-llama/Llama-3.2-1B,256,12,16,1
2051.22555,6.066,,4804.7842,14.655,,4735.81372,14.628,,5636096,meta-llama/Llama-3.2-1B,256,12,8,1
2078.29754,6.137,,4867.32404,14.834,,4789.71818,14.84,,2818048,meta-llama/Llama-3.2-1B,256,12,4,1
2062.38338,6.146,,4851.18465,14.841,,4777.17327,14.806,,1409024,meta-llama/Llama-3.2-1B,256,12,2,1
2064.11568,6.038,,4740.45341,14.378,,4717.61891,14.405,,704512,meta-llama/Llama-3.2-1B,256,12,1,1
1201.12097,3.412,,4472.48811,13.725,,3722.2723,10.504,,1235814400,meta-llama/Llama-3.2-1B,256,8,-1,1
1742.25889,5.351,,5198.75577,15.653,,4315.11867,13.724,,721420288,meta-llama/Llama-3.2-1B,256,8,1024,1
1545.27588,4.737,,4127.39725,12.847,,3707.18199,11.889,,360710144,meta-llama/Llama-3.2-1B,256,8,512,1
1446.19505,4.47,,3611.97565,11.374,,3330.34931,10.85,,180355072,meta-llama/Llama-3.2-1B,256,8,256,1
1402.10134,4.382,,3381.1818,10.787,,3206.02486,10.523,,90177536,meta-llama/Llama-3.2-1B,256,8,128,1
1375.5802,4.304,,3235.42139,10.451,,3171.06616,10.346,,45088768,meta-llama/Llama-3.2-1B,256,8,64,1
1357.55775,4.272,,3178.62287,10.3,,3097.09638,10.218,,22544384,meta-llama/Llama-3.2-1B,256,8,32,1
1367.55406,4.27,,3212.97979,10.453,,3138.28308,10.353,,11272192,meta-llama/Llama-3.2-1B,256,8,16,1
1362.75446,4.272,,3195.07922,10.356,,3094.52241,10.266,,5636096,meta-llama/Llama-3.2-1B,256,8,8,1
1349.35161,4.297,,3192.08601,10.497,,3143.13447,10.471,,2818048,meta-llama/Llama-3.2-1B,256,8,4,1
1371.15922,4.311,,3223.82113,10.51,,3148.41109,10.451,,1409024,meta-llama/Llama-3.2-1B,256,8,2,1
1367.70928,4.213,,3172.87227,10.098,,3100.00522,10.076,,704512,meta-llama/Llama-3.2-1B,256,8,1,1
609.11904,1.891,,2724.37462,9.701,,2045.77751,7.018,,1235814400,meta-llama/Llama-3.2-1B,256,4,-1,1
895.55442,2.957,,2903.07094,9.831,,2229.04813,8.013,,721420288,meta-llama/Llama-3.2-1B,256,4,1024,1
794.60959,2.632,,2250.36975,8.073,,2018.64555,8.097,,360710144,meta-llama/Llama-3.2-1B,256,4,512,1
739.3417,2.522,,1986.85156,8.072,,1838.73376,8.074,,180355072,meta-llama/Llama-3.2-1B,256,4,256,1
713.63462,2.467,,1824.73106,7.999,,1774.3583,7.963,,90177536,meta-llama/Llama-3.2-1B,256,4,128,1
701.18539,2.489,,1802.58035,8.07,,1722.1391,7.474,,45088768,meta-llama/Llama-3.2-1B,256,4,64,1
688.50693,2.499,,1759.36894,8.054,,1740.73658,7.771,,22544384,meta-llama/Llama-3.2-1B,256,4,32,1
695.39874,2.494,,1748.40123,7.782,,1748.47328,7.98,,11272192,meta-llama/Llama-3.2-1B,256,4,16,1
686.92282,2.532,,1783.67871,8.169,,1708.69378,7.737,,5636096,meta-llama/Llama-3.2-1B,256,4,8,1
702.53451,2.548,,1788.47727,8.245,,1763.93001,8.189,,2818048,meta-llama/Llama-3.2-1B,256,4,4,1
700.73813,2.54,,1777.64709,8.01,,1735.89299,7.907,,1409024,meta-llama/Llama-3.2-1B,256,4,2,1
689.6076,2.404,,1775.58613,8.001,,1748.6374,8.089,,704512,meta-llama/Llama-3.2-1B,256,4,1,1
785.98081,2.652,,2632.81974,9.036,,2461.18857,8.108,,355412057,FacebookAI/roberta-large,256,16,-1,1
1095.46826,3.862,,3020.44746,9.79,,2703.80538,9.227,,201326592,FacebookAI/roberta-large,256,16,1024,1
981.19307,3.431,,2508.86458,8.366,,2345.63881,8.318,,100663296,FacebookAI/roberta-large,256,16,512,1
920.54885,3.233,,2302.96918,8.488,,2187.67082,8.076,,50331648,FacebookAI/roberta-large,256,16,256,1
886.1991,3.142,,2235.85014,8.419,,2041.6561,7.388,,25165824,FacebookAI/roberta-large,256,16,128,1
876.3504,3.093,,2190.05095,8.492,,2152.15114,8.605,,12582912,FacebookAI/roberta-large,256,16,64,1
857.84593,3.065,,2009.77663,7.217,,2040.38821,7.523,,6291456,FacebookAI/roberta-large,256,16,32,1
878.43375,3.066,,2107.3231,8.575,,2110.27662,8.184,,3145728,FacebookAI/roberta-large,256,16,16,1
873.26416,3.071,,2103.87329,8.651,,2059.3513,7.731,,1572864,FacebookAI/roberta-large,256,16,8,1
884.09789,3.121,,2144.93096,8.597,,2026.49394,7.542,,786432,FacebookAI/roberta-large,256,16,4,1
868.88739,3.08,,2106.86189,8.587,,2064.81676,7.741,,393216,FacebookAI/roberta-large,256,16,2,1
875.27428,2.989,,2080.51914,8.386,,2089.03086,8.392,,196608,FacebookAI/roberta-large,256,16,1,1
564.82952,1.809,,2068.20794,7.672,,1839.10083,6.376,,355412057,FacebookAI/roberta-large,256,12,-1,1
789.39453,2.483,,2298.69465,8.392,,2036.05269,7.907,,201326592,FacebookAI/roberta-large,256,12,1024,1
707.25341,2.352,,1995.18244,8.246,,1783.36035,6.693,,100663296,FacebookAI/roberta-large,256,12,512,1
680.93187,2.359,,1885.34918,8.158,,1811.198,8.29,,50331648,FacebookAI/roberta-large,256,12,256,1
661.97435,2.356,,1769.20357,8.349,,1729.46507,8.392,,25165824,FacebookAI/roberta-large,256,12,128,1
648.65308,2.339,,1739.26151,8.311,,1535.67559,5.91,,12582912,FacebookAI/roberta-large,256,12,64,1
647.095,2.353,,1704.15241,7.981,,1662.85734,8.338,,6291456,FacebookAI/roberta-large,256,12,32,1
639.80094,2.352,,1655.34487,7.559,,1537.87714,6.186,,3145728,FacebookAI/roberta-large,256,12,16,1
642.41747,2.328,,1743.22525,8.542,,1626.05578,7.841,,1572864,FacebookAI/roberta-large,256,12,8,1
649.34487,2.395,,1769.42636,8.414,,1662.13191,7.77,,786432,FacebookAI/roberta-large,256,12,4,1
654.52121,2.422,,1618.5242,7.264,,1629.22111,7.946,,393216,FacebookAI/roberta-large,256,12,2,1
650.45921,2.354,,1553.30159,6.3,,1586.91013,7.098,,196608,FacebookAI/roberta-large,256,12,1,1
382.33645,1.436,,1587.11689,7.26,,1374.75631,6.5,,355412057,FacebookAI/roberta-large,256,8,-1,1
540.72478,2.106,,1763.75492,8.38,,1369.16116,5.556,,201326592,FacebookAI/roberta-large,256,8,1024,1
