flops,count,self_device_time_total,self_cpu_time_total,device_time_total,cpu_time_total,self_device_memory_usage,self_cpu_memory_usage,device_memory_usage,cpu_memory_usage,name,is_annotation,device,record_step,self_cpu_time_total_percentage,cpu_time_total_percentage
0,1,0,0.31500000000005457,0,0.31500000000005457,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.007252344521821949,0.003161392076347663
0,1,0,9.690999999998894,0,53.45299999999952,0,0,0,320,aten::matmul,False,CPU,veraB,0.22311895479668672,0.5364631449427962
81920,1,0,42.58800000000156,0,43.762000000000626,0,320,0,320,aten::mm,False,CPU,veraB,0.9805169793501937,0.4392026668098553
0,1,0,0.47599999999965803,0,0.47599999999965803,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.010959098388521174,0.00477721469314332
0,1,0,0.31300000000010186,0,0.31300000000010186,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.007206297889938462,0.003141319745704664
0,1,0,0.3849999999993088,0,0.3849999999993088,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.008863976637764934,0.003863923648861759
0,1,0,5.727000000000771,0,24.63300000000072,0,0,0,0,aten::numpy_T,False,CPU,veraB,0.13185453040150064,0.24722086037035165
0,1,0,13.922999999999774,0,18.90599999999995,0,0,0,0,aten::permute,False,CPU,veraB,0.32055362786446945,0.1897437415727568
0,1,0,4.983000000000175,0,4.983000000000175,0,0,0,0,aten::as_strided,False,CPU,veraB,0.11472518334042471,0.05001021179821659
8,1,0,19.809000000000196,0,19.809000000000196,0,320,0,320,aten::mul,False,CPU,veraB,0.4560688655007858,0.19880639885828771
0,1,0,4.648000000000138,0,15.872000000000298,0,0,0,0,aten::numpy_T,False,CPU,veraB,0.10701237249975742,0.15929401598661064
0,1,0,9.01299999999992,0,11.22400000000016,0,0,0,0,aten::permute,False,CPU,veraB,0.20750914658783912,0.11264591957117628
0,1,0,2.21100000000024,0,2.21100000000024,0,0,0,0,aten::as_strided,False,CPU,veraB,0.050904551548404106,0.022189961526362635
0,1,0,9.679000000000997,0,38.81200000000081,0,0,0,20480,aten::matmul,False,CPU,veraB,0.22284267500542768,0.3895236484672596
81920,1,0,27.850000000000364,0,29.13299999999981,0,20480,0,20480,aten::mm,False,CPU,veraB,0.6411993489927268,0.2923836043181584
0,1,0,0.6149999999997817,0,0.6149999999997817,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.014159339304502043,0.006172241672865985
0,1,0,0.32700000000022555,0,0.32700000000022555,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.007528624313133341,0.003281826060210221
0,1,0,0.34099999999943975,0,0.34099999999943975,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.007850950736307281,0.003422332374706651
0,1,0,16.40599999999995,0,16.40599999999995,0,0,0,0,aten::add_,False,CPU,veraB,0.3777205213491744,0.1646533282684146
0,1,0,9.466999999999643,0,35.71399999999994,0,0,0,320,aten::matmul,False,CPU,veraB,0.2179617320256315,0.35843160830051013
81920,1,0,25.313000000000102,0,26.2470000000003,0,320,0,320,aten::mm,False,CPU,veraB,0.5827891964471363,0.2634192311996307
0,1,0,0.3430000000007567,0,0.3430000000007567,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.007896997368222178,0.003442404705363342
0,1,0,0.27700000000004366,0,0.27700000000004366,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.006377458516014758,0.002780017794121552
0,1,0,0.3139999999993961,0,0.3139999999993961,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.007229321205864501,0.0031513559110193175
0,1,0,5.1340000000000146,0,19.435999999999694,0,0,0,0,aten::numpy_T,False,CPU,veraB,0.1182017040477065,0.1950629091932748
0,1,0,10.391999999999825,0,14.30199999999968,0,0,0,0,aten::permute,False,CPU,veraB,0.239258299272252,0.14353723643147756
0,1,0,3.9099999999998545,0,3.9099999999998545,0,0,0,0,aten::as_strided,False,CPU,veraB,0.0900211653343424,0.03924140640798972
8,1,0,15.09899999999925,0,15.09899999999925,0,320,0,320,aten::mul,False,CPU,veraB,0.347629047412588,0.15153606019289753
0,1,0,4.208000000000538,0,14.64599999999973,0,0,0,0,aten::numpy_T,False,CPU,veraB,0.09688211348515995,0.14698967730215554
0,1,0,8.46099999999933,0,10.437999999999192,0,0,0,0,aten::permute,False,CPU,veraB,0.19480027618768264,0.10475749362828138
0,1,0,1.9769999999998618,0,1.9769999999998618,0,0,0,0,aten::as_strided,False,CPU,veraB,0.04551709561790002,0.019841498841072412
0,1,0,9.161000000000058,0,46.81800000000021,0,0,0,20480,aten::matmul,False,CPU,veraB,0.21091659734730092,0.46987318803307904
81920,1,0,36.46899999999914,0,37.65700000000015,0,20480,0,20480,aten::mm,False,CPU,veraB,0.8396373090992784,0.37793187752064694
0,1,0,0.5600000000004002,0,0.5600000000004002,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.012893056927690445,0.0056202525801766655
0,1,0,0.3150000000005093,0,0.3150000000005093,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.00725234452183242,0.003161392076352227
0,1,0,0.31300000000010186,0,0.31300000000010186,0,0,0,0,aten::resolve_conj,False,CPU,veraB,0.007206297889938462,0.003141319745704664
0,1,0,10.389000000000124,0,10.389000000000124,0,0,0,0,aten::add_,False,CPU,veraB,0.23918922932443198,0.10426572152752561
